XQ.NA010	27.8366	85.1509	976.0	946620500.0
XQ.NA020	27.9125	85.0546	1107.0	509236000.0
XQ.NA030	28.1159	84.6438	861.0	747785000.0
XQ.NA040	28.2054	84.7436	1891.0	509236000.0
XQ.NA050	28.0571	84.8335	879.0	946620500.0
XQ.NA060	28.0273	85.1098	1979.0	1749920000.0
XQ.NA070	27.9841	85.2594	1146.0	747785000.0
XQ.NA080	28.271	85.3793	1845.0	946612000.0
XQ.NA090	27.9154	85.4189	1148.0	509236000.0
XQ.NA100	27.9277	85.5546	1188.0	946620500.0
XQ.NA110	27.7981	85.6536	1414.0	946620500.0
XQ.NA120	27.8346	85.7746	907.0	1756190000.0
XQ.NA130	27.8776	85.8915	1249.0	946629000.0
XQ.NA150	28.0016	84.623	1155.0	747785000.0
XQ.NA160	27.8699	84.8323	1114.0	747785000.0
XQ.NA170	27.7583	85.3617	1362.0	509240666.6666667
XQ.NA180	27.7163	85.5776	1093.0	747785000.0
XQ.NA190	27.7056	85.7601	717.0	1756190000.0
XQ.NA200	27.7191	85.9541	2597.0	747785000.0
XQ.NA210	27.7386	86.1582	1174.0	946620500.0
XQ.NA220	27.6328	86.2327	1908.0	1756190000.0
XQ.NA230	27.5173	86.5864	2519.0	747785000.0
XQ.NA240	27.8242	84.4636	245.0	1756190000.0
XQ.NA250	27.7759	84.6502	1445.0	946620500.0
XQ.NA260	27.6731	85.0926	1890.0	1759325000.0
XQ.NA270	27.5942	85.3234	1506.0	747783000.0
XQ.NA280	27.5939	85.5523	1542.0	1756190000.0
XQ.NA290	27.5611	85.8142	1203.0	1759325000.0
XQ.NA300	27.4914	86.0916	897.0	747785000.0
XQ.NA310	27.3449	86.2298	915.0	1756190000.0
XQ.NA320	27.1734	86.434	820.0	946620500.0
XQ.NA330	27.5858	84.6989	251.0	747785000.0
XQ.NA340	27.4529	85.0465	543.0	946620500.0
XQ.NA350	27.3625	85.2598	306.0	1759325000.0
XQ.NA360	27.2719	85.6978	274.0	946620500.0
XQ.NA370	27.211	85.9242	549.0	747785000.0
XQ.NA380	27.0135	86.1474	234.0	747785000.0
XQ.NA390	27.4321	84.3927	205.0	946620500.0
XQ.NA400	27.2828	84.9888	311.0	509236000.0
XQ.NA410	27.1499	85.403	142.0	946620500.0
XQ.NA420	26.994	85.9017	253.0	946620500.0
XQ.NA450	27.8375	86.1144	2083.0	1284050.0
